# ===========================================
# Inverse Lithography Optimization Log
# ===========================================
# Timestamp: 2025-12-25 16:16:34
# Optimizer Type: momentum
# Loss Type: PE
# Learning Rate: 0.005
# Initial Loss: 3048.760660
# Target Shape: 1000x1000_cell1000_inverse_stage2
# Optimizer Parameters:
#   momentum: 0.9
# ===========================================

iteration,loss,grad_norm,mask_min,mask_max,mask_mean,mask_std,velocity_norm,time_elapsed
0,3048.7606601496213,116.26715331487743,0.0,1.0,0.05349974418113081,0.2093089852209687,0.0,1.0775108337402344
1,3049.605246260798,116.33482104089994,0.0,1.0,0.053511820793450654,0.20931539741982358,0.5813357665743883,2.1949198246002197
2,3050.7858416144886,116.40910620854288,0.0,1.0,0.05353330785550328,0.20932219062786625,1.1048731599309867,3.3733279705047607
3,3052.1161961101925,116.46312642838818,0.0,1.0,0.05356202480645031,0.20932585337076562,1.5764089792963518,5.0206520557403564
4,3053.9518199854037,116.5329933167696,0.0,1.0,0.05359690397584097,0.2093279692595955,2.001007997347581,6.087629795074463
5,3056.4793043121654,116.63745677057088,0.0,1.0,0.05363650989414771,0.209328445008409,2.383389078196691,7.066625118255615
6,3059.8521315796056,116.79072738514462,0.0,1.0,0.05367924070984199,0.20932621744957602,2.7278770214994963,8.063577890396118
7,3064.245678567507,117.00864763662729,0.0,1.0,0.053723584052527924,0.20932018931691215,3.0384294158657283,9.05663275718689
8,3069.6963911996604,117.30083781208533,0.0,1.0,0.05376834619868375,0.20931021967870672,3.318696597816292,10.012095928192139
9,3076.2215671017843,117.66893124786394,0.0,1.0,0.05381240438450065,0.20929594149488734,3.572024635866391,10.999443054199219
10,3083.865165747387,118.11800361762883,0.0,1.0,0.05385508569346418,0.20927814785913632,3.801454833384129,11.951676845550537
11,3092.696202103764,118.65497274247407,0.0,1.0,0.05389575200626187,0.20925709759725689,4.009762462861313,12.991484880447388
12,3102.5561659107734,119.26739562960067,0.0,1.0,0.05393360626051821,0.2092318987621217,4.199513683608716,14.044304847717285
13,3113.312896259331,119.94254891536988,0.0,1.0,0.05396783682207479,0.20920106495945326,4.372982864494115,15.073808908462524
14,3124.734856182842,120.66454689950393,0.0,1.0,0.05399844480734448,0.20916552899959998,4.532203651733385,16.049150943756104
15,3136.710071535375,121.4212163133601,0.0,1.0,0.05402502769391131,0.20912515053383762,4.678909474465095,17.020777940750122
16,3149.229472232572,122.21009401286929,0.0,1.0,0.05404772560699873,0.20908058999943147,4.814619762757767,17.9704167842865
17,3162.2400658593956,123.02747138493785,0.0,1.0,0.05406648747457365,0.20903277167112286,4.940700153553135,18.928290128707886
18,3175.702236370195,123.8710021183766,0.0,1.0,0.05408179194590818,0.20898270761210316,5.058347164727807,19.872655868530273
19,3189.5671017400277,124.73347320208002,0.0,1.0,0.05409357165859368,0.20893055796519883,5.168599481622121,20.8989577293396
20,3203.736955760687,125.60628057623924,0.0,1.0,0.05410204154941488,0.20887576410197103,5.272344010195387,21.899823904037476
21,3218.1368863205953,126.47972247171109,0.0,1.0,0.05410699789813045,0.20881863135107448,5.370326804704597,22.8978488445282
22,3232.8738369470916,127.36684055782769,0.0,1.0,0.05410882754482737,0.2087603780242723,5.463152126006267,23.901559114456177
23,3247.8913206162492,128.26170200088896,0.0,1.0,0.05410768574195345,0.20870055876852978,5.551395602798213,25.017844915390015
24,3262.9847892489456,129.14106850093862,0.0,1.0,0.054103574364711304,0.2086396088050342,5.635541058245057,25.974150896072388
25,3278.185328681727,130.01148803908205,0.0,1.0,0.054096628759272965,0.2085777901883175,5.7158977466579755,26.92018485069275
26,3293.4024499527673,130.86570748102108,0.0,1.0,0.05408718290577833,0.20851481898571514,5.792768074387836,27.902507066726685
27,3308.404085098072,131.67945910212705,0.0,1.0,0.05407466848820187,0.2084494932034085,5.866385241249803,28.85536003112793
28,3323.092650012328,132.44467235213816,0.0,1.0,0.054059241159098284,0.2083819871042604,5.936845350931246,29.798996925354004
29,3337.5652882073214,133.1782153339877,0.0,1.0,0.05404157403592274,0.2083136084396673,6.004195301297497,30.735942840576172
30,3351.368454236275,133.8582892925909,0.0,1.0,0.054021199994264794,0.20824249323825744,6.068562832140722,31.744139909744263
31,3364.9561258757612,134.51869485196917,0.0,1.0,0.05399884909759064,0.208171639583419,6.129968356307047,32.793176889419556
32,3378.329315519807,135.1669838334927,0.0,1.0,0.05397483410994717,0.2081015274188748,6.188596621336629,33.82430100440979
33,3391.2235259042486,135.79542796763337,0.0,1.0,0.05394906082668736,0.20803109511523835,6.244654474288087,34.77234101295471
34,3404.227646101251,136.44205959437195,0.0,1.0,0.05392221780482725,0.20796384838000234,6.298291192552143,35.81656289100647
35,3417.6027335820568,137.12194870372755,0.0,1.0,0.053895006354024104,0.20790109863167383,6.349826572384103,36.815035820007324
36,3431.4074946226347,137.84096639351392,0.0,1.0,0.05386789829976966,0.20784315238922652,6.399625245782168,37.80126905441284
37,3445.647862059596,138.59931749136913,0.0,1.0,0.053840800294384636,0.2077896261505795,6.4480481404680186,38.80094790458679
38,3460.353486031766,139.39819735234462,0.0,1.0,0.053813556342556926,0.20774070020340774,6.495423570847217,39.762534856796265
39,3475.5599350022794,140.24136478996456,0.0,1.0,0.05378633677937659,0.20769695574312833,6.542055213100451,40.74751281738281
40,3491.226415510761,141.12696626851056,0.0,1.0,0.053759572846221355,0.2076581503937077,6.588237899545265,41.677226066589355
41,3507.246219777947,142.04869505309125,0.0,1.0,0.053733167948922536,0.20762382882312955,6.634228579316027,42.74351692199707
42,3523.289289318867,142.9874388322507,0.0,1.0,0.05370628012740934,0.20759187092063017,6.680226376808148,43.785167932510376
43,3539.4648214002395,143.94751796381422,0.0,1.0,0.0536786039566047,0.2075623462445734,6.726311917102507,44.805153131484985
44,3555.941466956541,144.93323367855663,0.0,1.0,0.05365032628298918,0.20753639375404534,6.772578692603359,45.74741196632385
45,3572.836782801337,145.9538297772811,0.0,1.0,0.05362163086967997,0.2075140612840872,6.819134997049854,46.70093894004822
46,3589.913408575003,146.99534928600244,0.0,1.0,0.05359244650629727,0.2074939043557133,6.86612555514654,47.63212180137634
47,3607.3809730360163,148.06826836511587,0.0,1.0,0.0535627947927767,0.2074766565368492,6.91360995827929,48.57457089424133
48,3625.343655937358,149.17656069733306,0.0,1.0,0.05353259462535137,0.2074626539240078,6.961696735287146,49.53608703613281
49,3643.8272070238604,150.3198451968771,0.0,1.0,0.053501939041143066,0.2074518339801214,7.010504919905271,50.52690887451172
50,3662.771750386502,151.49196818225462,0.0,1.0,0.05347071985520054,0.20744325036581612,7.060142117956185,51.468706130981445
