# ===========================================
# Inverse Lithography Optimization Log
# ===========================================
# Timestamp: 2026-01-03 22:21:37
# Optimizer Type: adam
# Loss Type: PE
# Learning Rate: 0.05
# Initial Loss: 5541.527552
# Target Shape: 1000x1000_cell1000_inverse_stage1
# Optimizer Parameters:
#   beta1: 0.9
#   beta2: 0.999
#   epsilon: 1e-06
#   lambda: 0.999999
# ===========================================

iteration,loss,grad_norm,mask_min,mask_max,mask_mean,mask_std,adam_t,m_norm,v_norm,time_elapsed
0,5541.527552177729,204.32784712210545,0.0,1.0,0.059254,0.23609947794097272,0,0.0,0.0,1.0101568698883057
1,5646.068563422756,219.16398728748314,0.0,1.0,0.07930545916283406,0.22408241767603182,1,20.432784712210353,0.25361626871967846,2.029884099960327
2,5457.9045814003675,229.6026132777843,0.0,1.0,0.09815998663680599,0.21521418334628326,2,40.30071204729747,0.5431805494644917,3.0120248794555664
3,5231.14653980056,238.43652799610598,0.0,1.0,0.11588666438974862,0.20969764121310688,3,59.22056239302435,0.8588186622318743,4.001189947128296
4,5021.24420139726,245.8529501082141,0.0,1.0,0.13233350815194173,0.2075202604131634,4,77.11737557437812,1.196420337055628,4.993927001953125
5,4873.395594084204,252.4008856425874,0.0,1.0,0.14711485439788305,0.20846376546630552,5,93.93318399715108,1.552246959705619,5.96314001083374
6,4798.994915637133,259.2209401309074,0.0,1.0,0.1597365611972127,0.21196335596560598,6,109.65177563336466,1.9248774236108572,6.931493043899536
7,4842.519275766916,269.0916897911902,0.0,1.0,0.1696540654731167,0.21716000985519132,7,124.35702892912497,2.317122733992702,7.912445068359375
8,4918.4911786123375,278.41062666434055,0.0,1.0,0.17632505654622024,0.22293930034769702,8,138.4270875974283,2.7399030783982554,8.9125337600708
9,5094.816356778501,290.67306400922035,0.0,1.0,0.17934406094698876,0.22810476869771334,9,151.8902847823327,3.192861442016229,9.903291940689087
10,5363.1080596691945,305.8182671138468,0.0,1.0,0.17868449443619283,0.23168339879662161,10,165.1837357297138,3.685519861591111,10.867532968521118
11,5697.2855924259575,322.5342872082247,0.0,1.0,0.1747854524080564,0.23324804559461118,11,178.69703990776418,4.227648562975739,11.814228057861328
12,6073.871788525824,339.5717987160874,0.0,1.0,0.16843560496057391,0.23297875211071892,12,192.6000734153076,4.8249051064762485,12.787551164627075
13,6469.622440529245,355.8440179910229,0.0,1.0,0.1605100900726921,0.23141049373442854,13,206.87130625207664,5.478115832024504,13.76120400428772
14,6947.587317927229,374.296108539742,0.0,1.0,0.1517900822724016,0.22913615264249362,14,221.36067646416168,6.1840091773112835,14.734384059906006
15,7534.48798389062,394.1979033095217,0.0,1.0,0.14286200144311006,0.22664754770104606,15,236.24612538324928,6.951450957914628,15.69989013671875
16,8095.568208345487,408.79760352226396,0.0,1.0,0.13410537268676215,0.2242422079639071,16,251.63398047448274,7.787670159276933,16.672823905944824
