# ===========================================
# Inverse Lithography Optimization Log
# ===========================================
# Timestamp: 2026-01-14 17:51:17
# Optimizer Type: adam
# Loss Type: EPE
# Learning Rate: 0.005
# Initial Loss: 1771.480675
# Target Shape: 1000x1000_cell1000_inverse_stage2
# Optimizer Parameters:
#   beta1: 0.9
#   beta2: 0.999
#   epsilon: 0.01
# ===========================================

iteration,loss,grad_norm,mask_min,mask_max,mask_mean,mask_std,adam_t,m_norm,v_norm,time_elapsed
0,1771.4806749233148,61.93686672284945,0.0,1.0,0.053499744181130855,0.20930898522096855,0,0.0,0.0,1.0709550380706787
1,1766.8751473297968,61.34694081671372,0.0,1.0,0.05359633529804784,0.20929420460957127,1,6.193686672284917,0.021030075453522066,2.2550487518310547
2,1763.5945843796087,60.80013294428762,0.0,1.0,0.05369073968328239,0.20926988958241027,2,11.708391298988031,0.04159819116116163,3.4366250038146973
3,1760.9250487020904,60.29020203940846,0.0,1.0,0.053783906156029675,0.20924134773176464,3,16.615705060153623,0.06174234760110815,4.5146400928497314
4,1754.5599180787813,59.674638835746606,0.0,1.0,0.053876237869610655,0.20921098039889918,4,20.979532619567138,0.08149434616284759,5.564580917358398
5,1748.7557560478886,59.10365895909052,0.0,1.0,0.05396761434956823,0.20917933012711692,5,24.843240247189037,0.1007919248730547,6.680546045303345
6,1741.5262871421862,58.514644012347794,0.0,1.0,0.05405802072029742,0.20914724794968467,6,28.26096535895286,0.11967131520965238,7.7049877643585205
7,1735.5914176795625,57.997474441290755,0.0,1.0,0.05414694064750083,0.2091132122517143,7,31.275261558946372,0.13812800820742233,8.72209095954895
8,1731.1290123990957,57.559596254197935,0.0,1.0,0.05423397030966043,0.20907626197589,8,33.93350380889628,0.15621248312040464,9.87904405593872
9,1727.9110438927194,57.19374893694879,0.0,1.0,0.054319277010784,0.2090374182545602,9,36.279212018686,0.17397797751930247,10.994539976119995
10,1725.7709968421805,56.89115894969119,0.0,1.0,0.05440295995341433,0.20899762869655297,10,38.35092128077529,0.1914716001862344,12.061945915222168
11,1723.370565074006,56.60410261121454,0.0,1.0,0.05448517756235038,0.20895817250266915,11,40.1825436421906,0.2087328305654052,13.22301697731018
12,1721.623951294902,56.36237093690583,0.0,1.0,0.05456589046526527,0.2089191098949387,12,41.799950747504546,0.22577044484125505,14.303987979888916
13,1720.3354512654146,56.15320118614626,0.0,1.0,0.05464495706065566,0.20887988016200662,13,43.2294878519495,0.24261155001353615,15.393318891525269
14,1719.1764668289752,55.961942862106355,0.0,1.0,0.054722340790431534,0.20884051603873288,14,44.49360937132259,0.2592741444580342,16.47388482093811
15,1718.3932856856495,55.794506241927486,0.0,1.0,0.05479796834930295,0.20880089241208669,15,45.611094521702455,0.2757667945100449,17.541362762451172
16,1717.7697153524427,55.63617610723994,0.0,1.0,0.05487162617447331,0.20876011506362316,16,46.59943404356959,0.29210204350775154,18.612489938735962
17,1717.1406727064466,55.475900555741866,0.0,1.0,0.05494298532794432,0.20871679373687224,17,47.47282467542339,0.3082829260894601,19.664917945861816
