# ===========================================
# Inverse Lithography Optimization Log
# ===========================================
# Timestamp: 2026-01-14 19:15:22
# Optimizer Type: sgd
# Loss Type: EPE
# Learning Rate: 0.005
# Initial Loss: 1998.075407
# Target Shape: 1000x1000_cell1000_inverse_stage2
# ===========================================

iteration,loss,grad_norm,mask_min,mask_max,mask_mean,mask_std,time_elapsed
0,1998.0754065316544,82.00989449285031,0.0,1.0,0.05944123835385389,0.20440311118045754,1.008903980255127
1,1998.0383223007377,81.95281068176305,0.0,1.0,0.05944313249055626,0.20439520300525701,2.112868070602417
2,1998.025051185274,81.89736439563848,0.0,1.0,0.05944499506465177,0.20438734075545745,3.189700126647949
3,1998.0351695273832,81.84353655132702,0.0,1.0,0.059446826173451046,0.2043795222906633,4.240951061248779
4,1998.0682161238644,81.79129178163016,0.0,1.0,0.05944862532296957,0.2043717422848002,5.433103799819946
5,1998.1231004353913,81.74057103847467,0.0,1.0,0.05945039332150183,0.20436400114579217,6.612998962402344
6,1998.1986145276917,81.69132217315908,0.0,1.0,0.05945212990357038,0.20435629375152173,7.721940994262695
7,1998.2949008514074,81.64351180716947,0.0,1.0,0.05945383247562383,0.2043486060667008,8.750244140625
8,1998.4115264098557,81.59712948645303,0.0,1.0,0.05945550353234134,0.2043409455547829,9.748111724853516
9,1998.5466312778897,81.55211416324443,0.0,1.0,0.059457147087162064,0.2043333280839911,10.754127740859985
10,1998.7001293625876,81.50845093059229,0.0,1.0,0.05945876181146531,0.204325744805566,11.813545942306519
11,1998.8723135690427,81.46614653433035,0.0,1.0,0.059460349264012065,0.20431820177792984,13.250151872634888
12,1998.8594492008367,81.41685463625807,0.0,1.0,0.059461906775246064,0.20431068464208457,15.252197742462158
13,1998.8321860504434,81.36752134818562,0.0,1.0,0.05946343345293086,0.20430318785929122,16.582238912582397
14,1998.8228354535845,81.31948418901331,0.0,1.0,0.059464932215219105,0.20429572047387942,17.68696403503418
15,1998.8329481029887,81.27279443259481,0.0,1.0,0.05946640289896606,0.20428827926996887,18.852468013763428
16,1998.8592465353045,81.2273071449951,0.0,1.0,0.05946784680594177,0.20428086519436597,19.924072980880737
17,1998.9018958127908,81.18301339374428,0.0,1.0,0.059469263456750826,0.2042734762766881,20.97273087501526
18,1998.9392120174607,81.13901532645137,0.0,1.0,0.05947065329691878,0.2042661081878817,22.033063888549805
19,1998.9598489423972,81.09483350119129,0.0,1.0,0.05947201552593021,0.20425875538060223,23.656867027282715
20,1998.9963394260337,81.05178233588137,0.0,1.0,0.059473350511812115,0.2042514184117274,24.880305767059326
21,1999.0008940878445,81.00786809885561,0.0,1.0,0.05947465513446595,0.20424408253908125,25.97063899040222
22,1999.0149911190656,80.96483721152124,0.0,1.0,0.0594759343784836,0.20423676876024074,26.973480939865112
23,1999.0418332728032,80.92276833176491,0.0,1.0,0.059477185735571474,0.2042294640873005,28.284403800964355
24,1999.0861326355398,80.8818562051222,0.0,1.0,0.05947841160184054,0.2042221748455878,29.391493797302246
25,1999.140344773346,80.84181618364819,0.0,1.0,0.059479614760327176,0.2042149067020579,30.476589918136597
26,1999.203909205735,80.80259347895309,0.0,1.0,0.059480793913043846,0.20420765570668195,31.801141023635864
27,1999.2792385503765,80.76426037378612,0.0,1.0,0.059481946179608176,0.20420040968563313,32.95044708251953
28,1999.3539455096943,80.7263024412386,0.0,1.0,0.05948307271661135,0.20419317020350897,33.94836401939392
