# ===========================================
# Inverse Lithography Optimization Log
# ===========================================
# Timestamp: 2026-01-20 19:48:26
# Optimizer Type: sgd
# Loss Type: Comb(w=0.95)
# Learning Rate: 0.01
# Initial Loss: 135.230310
# Target Shape: 100x100_t100_inverse_comb
# ===========================================

iteration,loss,grad_norm,mask_min,mask_max,mask_mean,mask_std,time_elapsed
0,135.2303097170928,38.4821980865165,0.0,0.996078431372549,0.2071843137254902,0.4042851547692322,0.001149892807006836
1,129.77461386168108,40.92226664014531,0.0,1.0,0.2086464089588362,0.4042547628351536,0.002450227737426758
2,124.9010855599629,42.94405222722054,0.0,1.0,0.20987304858855169,0.4036090318443527,0.0037980079650878906
3,119.39498411203819,44.968845814988164,0.0,1.0,0.21114752770867345,0.4029391956892485,0.0055310726165771484
4,113.28048556602583,46.86259284602417,0.0,1.0,0.2124678296920627,0.40224664738620786,0.006915092468261719
5,106.10527210382288,48.25951558485657,0.0,1.0,0.21382803140878345,0.40153451155761,0.008498191833496094
6,98.35575821170858,49.16430164490118,0.0,1.0,0.2152199406088519,0.40082675238959087,0.009821176528930664
7,90.2873720140767,49.45718927462805,0.0,1.0,0.2166320646487674,0.4001383301794046,0.011294841766357422
8,82.0413164620973,48.99214992909816,0.0,1.0,0.21804767278461487,0.39947989897340525,0.012738943099975586
9,73.87224175352809,47.69788748749169,0.0,1.0,0.2194461887783035,0.3988618493394164,0.015230894088745117
10,66.0758424781707,45.625432044232106,0.0,1.0,0.22080508868739188,0.3982927977149737,0.01786494255065918
11,58.886789002385555,42.94419475683745,0.0,1.0,0.2221030025017928,0.3977779719838329,0.01933002471923828
12,51.94184585779045,39.52143794797788,0.0,1.0,0.2233228968531734,0.3973184785026642,0.020594120025634766
13,45.63397004000551,35.80525025144496,0.0,1.0,0.22444374435027226,0.39691623302579015,0.022195816040039062
14,40.48010661178963,32.407930524267286,0.0,1.0,0.22545684121335663,0.3965679642040398,0.02362203598022461
15,36.28997171624225,29.40344035631413,0.0,1.0,0.22637108200157505,0.396265950101927,0.025064945220947266
16,33.58160951218865,27.36186853864097,0.0,1.0,0.22719681147302198,0.3960020452737892,0.026367902755737305
17,31.346378779428065,25.61775775856696,0.0,1.0,0.2279617921749212,0.39576576977185335,0.027634143829345703
18,29.42947150816669,24.081210220150655,0.0,1.0,0.22867445566728375,0.3955527538200299,0.028946876525878906
19,27.773568966736654,22.72543932835348,0.0,1.0,0.22934055678685908,0.3953598294092454,0.0303652286529541
20,26.326340759948714,21.519374678563175,0.0,1.0,0.22996493558893136,0.39518357841214957,0.03161787986755371
21,25.06161922356261,20.44934550879463,0.0,1.0,0.23055207902894972,0.3950223037643923,0.03310418128967285
22,23.95030402440699,19.495730261997796,0.0,1.0,0.2311060034011133,0.39487416971272377,0.03451204299926758
23,22.966706835585974,18.63939061963978,0.0,1.0,0.2316300250707528,0.3947375546694007,0.03604602813720703
24,22.09139321221971,17.86585633090677,0.0,1.0,0.23212706907774905,0.3946111411051226,0.03743100166320801
25,21.307022627790104,17.16142696215905,0.0,1.0,0.23259961260866385,0.3944938155196529,0.03881692886352539
26,20.60412697329881,16.518213610014264,0.0,1.0,0.23304980061665279,0.3943845354079359,0.04011416435241699
27,19.97216066657446,15.92778226071932,0.0,1.0,0.2334795871476348,0.3942824726285461,0.04131913185119629
28,19.39759837116068,15.379627678571664,0.0,1.0,0.23389070819634183,0.3941870137740088,0.04267406463623047
29,18.87783039495065,14.871810676935409,0.0,1.0,0.23428464890031875,0.39409756915967886,0.044158935546875
30,18.406742757953545,14.399969144796744,0.0,1.0,0.23466286345904877,0.39401357086495403,0.04647493362426758
31,17.97907640397161,13.960695444142598,0.0,1.0,0.23502655431654376,0.3939346505066521,0.048082828521728516
32,17.590479311736203,13.551514969355399,0.0,1.0,0.23537674272249343,0.3938601739250511,0.0494692325592041
33,17.2370026717432,13.17048785528687,0.0,1.0,0.23571454566903707,0.39378997291529383,0.05109405517578125
34,16.91532699861462,12.816337409769142,0.0,1.0,0.23604081322678394,0.39372374231045276,0.05257010459899902
35,16.622697025302788,12.488443688291975,0.0,1.0,0.236356322814405,0.3936610347793807,0.05397915840148926
36,16.356615627958604,12.186407520431151,0.0,1.0,0.23666186679877255,0.3936016348125489,0.05525016784667969
37,16.11486960629662,11.910087515846946,0.0,1.0,0.2369582512607619,0.393545297798464,0.05701088905334473
38,15.89503141095747,11.659034107739574,0.0,1.0,0.2372462128776066,0.393491718792335,0.058439016342163086
39,15.695522725575596,11.433679546895638,0.0,1.0,0.23752647258459092,0.3934408336342845,0.059767961502075195
40,15.513758965709133,11.233180094589525,0.0,1.0,0.23779967817888556,0.39339230916447765,0.06108522415161133
41,15.349410060296915,11.059239505592902,0.0,1.0,0.23806638819466425,0.3933460419130898,0.0624690055847168
42,15.202153313876046,10.913392650352653,0.0,1.0,0.23832720917713773,0.3933018786183396,0.06373190879821777
43,14.979689004374663,10.73450883695219,0.0,1.0,0.23858278180074835,0.39325961851888025,0.06500816345214844
44,14.757234384695515,10.574536166795836,0.0,1.0,0.23883232031727283,0.39321941493910284,0.06627702713012695
45,14.547551541909922,10.442293716165242,0.0,1.0,0.2390762174049326,0.39318121773763653,0.06757092475891113
46,14.349051449862717,10.33652499931418,0.0,1.0,0.23931511334512243,0.3931448021463609,0.06890583038330078
47,14.16278180969352,10.257965333851459,0.0,1.0,0.2395495177785805,0.3931100398778556,0.0702052116394043
48,13.99013666606352,10.206807705857038,0.0,1.0,0.2397800208454784,0.39307680187096905,0.07134604454040527
49,13.822461897402565,10.174075969145049,0.0,1.0,0.24000733460275997,0.39304505703748077,0.07271289825439453
50,13.5891852792218,10.108033383349046,0.0,1.0,0.24023183851154226,0.3930147884007145,0.07397913932800293
51,13.342959308373876,10.04106695468652,0.0,1.0,0.24045273231851932,0.39298604468349674,0.07544112205505371
52,13.098616307534675,9.97952449427254,0.0,1.0,0.240669969770629,0.39295871839297003,0.07674479484558105
53,12.85466400915563,9.91793093039785,0.0,1.0,0.24088374430033582,0.39293285210170376,0.07821202278137207
54,12.523279482788972,9.786455218964086,0.0,1.0,0.2410941230060653,0.39290846103865845,0.07953596115112305
55,12.207647179941223,9.654225043898535,0.0,1.0,0.24129969805549073,0.39288568705537585,0.08085918426513672
56,11.907351389559647,9.516789935478359,0.0,1.0,0.24150057920265913,0.392864456419958,0.08222794532775879
57,11.622255011426219,9.370344307781703,0.0,1.0,0.24169688936404146,0.39284467443987414,0.08348894119262695
58,11.352448356718586,9.211932639907179,0.0,1.0,0.24188857077595977,0.39282636999707976,0.0847468376159668
59,11.09814161899655,9.03951170516204,0.0,1.0,0.2420755806295489,0.3928094791169026,0.086151123046875
60,10.859533010344338,8.852008740769675,0.0,1.0,0.24225776938387375,0.39279390102224854,0.08752989768981934
61,10.636864124829762,8.649441151428872,0.0,1.0,0.24243494544253863,0.39277966985540663,0.08908510208129883
62,10.429702974508892,8.432122358139772,0.0,1.0,0.24260684607457064,0.39276668952219546,0.09047293663024902
63,10.238420588987157,8.202196691663618,0.0,1.0,0.24277345536245903,0.39275483754242757,0.0922539234161377
64,10.063041352102445,7.9623815683266965,0.0,1.0,0.24293460291344404,0.39274410109241675,0.09382915496826172
65,9.903161436100373,7.715573357401086,0.0,1.0,0.24309016276234297,0.39273441744807547,0.09502887725830078
66,9.758178457544727,7.464866231069078,0.0,1.0,0.2432401459628802,0.39272575796222947,0.09635806083679199
67,9.6273527819537,7.213371185652275,0.0,1.0,0.24338457695899343,0.3927180086898838,0.09762907028198242
68,9.509529830462368,6.963501397794339,0.0,1.0,0.24352339825128502,0.3927110932739309,0.09892082214355469
69,9.404044507627363,6.718354425124259,0.0,1.0,0.24365672334155106,0.3927049688917182,0.100189208984375
70,9.309943221427627,6.4802757047791655,0.0,1.0,0.24378467756027902,0.39269954458771394,0.10157108306884766
