# ===========================================
# Inverse Lithography Optimization Log
# ===========================================
# Timestamp: 2026-02-06 16:35:35
# Optimizer Type: Momentum-Edge-Constrained-ConFIG
# Loss Type: PE+EPE (Fixed Weight + Momentum)
# Learning Rate: 0.01
# Initial Loss: 14291.231248
"# Target Shape: (1000, 1000)"
# Optimizer Parameters:
#   edge_pixel_range: 5
#   sigmoid_A: 30.0
#   pe_weight: 0.5
#   epe_weight: 0.5
#   momentum_beta: 0.7
# ===========================================

iteration,loss,grad_norm,mask_min,mask_max,mask_mean,mask_std,time_elapsed
0,7145.6156240983255,470.3526184120863,0.0,1.0,0.2407,0.42750849114374323,0.4284942150115967
1,7110.64509078341,469.5738479283708,0.0,1.0,0.24066652924133347,0.42741598424027727,0.8619461059570312
2,7075.910884105208,468.7492904353052,0.0,1.0,0.24063315863914694,0.4273239637200338,1.283675193786621
3,7041.55153844504,467.9129732868463,0.0,1.0,0.2405999954408153,0.42723259237281186,1.73002028465271
4,7007.567864606264,467.0658761596062,0.0,1.0,0.24056703945931446,0.42714186748566846,2.1638259887695312
5,6973.959853406026,466.3306188260242,0.0,1.0,0.24053429001291973,0.4270517854549919,2.5941061973571777
6,6940.197957792841,465.38842311865966,0.0,1.0,0.2405013274927751,0.4269617115334551,3.0236968994140625
7,6907.08063791036,464.5063099681951,0.0,1.0,0.24046878214480705,0.4268725972814692,3.4558210372924805
8,6874.341865317572,463.61671520495383,0.0,1.0,0.24043644357917782,0.4267841211266066,3.8903560638427734
9,6841.981151092149,462.72052197131075,0.0,1.0,0.24040431096413162,0.42669627893463713,4.315842151641846
10,6800.69226778038,461.55457661370747,0.0,1.0,0.24037238323916485,0.4266090660700307,4.743382215499878
11,6758.054256761624,460.326538998653,0.0,1.0,0.24034068259252422,0.4265225194020239,5.18560004234314
12,6715.870064355512,459.08812726521325,0.0,1.0,0.24030921496747693,0.4264366389543103,5.645526170730591
13,6674.134508652376,457.84035911392954,0.0,1.0,0.24027798185758828,0.4263514152397661,6.073925256729126
14,6632.842426276514,456.58425683683,0.0,1.0,0.24024698485714516,0.42626683895548534,6.504239082336426
15,6591.98852682751,455.3208078850384,0.0,1.0,0.24021622548074328,0.4261829008034023,6.925328254699707
16,6551.567349913494,454.0507913376239,0.0,1.0,0.24018570515746687,0.42609959138657205,7.402721166610718
17,6511.575679554782,452.7751225050167,0.0,1.0,0.24015542293542055,0.42601690500168626,8.110919952392578
18,6472.010410233232,451.4947153274624,0.0,1.0,0.24012537728197292,0.4259348363084297,8.562445163726807
19,6432.868418114611,450.21044788237225,0.0,1.0,0.2400955667352991,0.4258533801206993,9.01236891746521
20,6394.14645057736,448.92315929012335,0.0,1.0,0.24006598972475693,0.42577253127969583,9.461572170257568
21,6355.840993930469,447.6336465566328,0.0,1.0,0.24003664466034796,0.425692284461442,9.90518307685852
22,6317.948520643054,446.34267115709065,0.0,1.0,0.2400075300840838,0.42561263441561575,10.343485116958618
23,6280.4654713974,445.0509569531533,0.0,1.0,0.2399786446120935,0.42553357613800696,10.781221151351929
24,6243.38820616112,443.7591879848734,0.0,1.0,0.23994998679100768,0.42545510451309165,11.216135025024414
25,6206.712798622587,442.46800731841563,0.0,1.0,0.2399215549121722,0.4253772141499131,11.652745962142944
26,6170.43542475124,441.178019792475,0.0,1.0,0.2398933473833513,0.42529989997733036,12.081395149230957
27,6134.552314276927,439.88979946489866,0.0,1.0,0.2398653626190415,0.42522315710125236,12.541571140289307
28,6099.059387004792,438.6038744085337,0.0,1.0,0.2398375988195113,0.4251469803983336,13.006651878356934
29,6063.952756544333,437.32074574096066,0.0,1.0,0.2398100545189146,0.42507136526098593,13.437714099884033
30,6029.2284750361505,436.0408813366597,0.0,1.0,0.23978272812907428,0.4249963068816695,13.869783163070679
31,5994.8826320112985,434.7647158194202,0.0,1.0,0.23975561820746077,0.4249218007503392,14.303418159484863
32,5960.9110233581105,433.49264230747843,0.0,1.0,0.23972872312119084,0.4248478421007785,14.73488998413086
33,5927.309434956038,432.22502761979916,0.0,1.0,0.23970204129948677,0.4247744260891241,15.160665273666382
34,5894.073939154704,430.96221633433356,0.0,1.0,0.23967557119363075,0.4247015482039624,15.589788913726807
35,5861.200313318157,429.7045180309719,0.0,1.0,0.23964931109218918,0.42462920389528785,16.018458127975464
36,5828.684400556929,428.45221528968153,0.0,1.0,0.23962325925747094,0.42455738860190473,16.452248096466064
37,5796.522172796206,427.2055660072483,0.0,1.0,0.2395974141020184,0.42448609787770647,16.88176417350769
38,5764.709477596951,425.9648042814196,0.0,1.0,0.2395717738043373,0.42441532707860036,17.30536413192749
39,5733.242443760794,424.73014751635856,0.0,1.0,0.23954633683978113,0.4243450719932759,17.73252010345459
40,5702.117304227992,423.5017944696867,0.0,1.0,0.23952110212963768,0.4242753292100516,18.164122104644775
41,5671.330175664527,422.2799179744428,0.0,1.0,0.2394960682562308,0.42420609487308986,18.598900079727173
42,5640.877071097268,421.0646699679613,0.0,1.0,0.2394712336850033,0.42413736490078846,19.01780414581299
43,5610.75422917363,419.8561886750066,0.0,1.0,0.23944659652751563,0.42406913452043055,19.44751524925232
44,5580.957721687891,418.65459206637934,0.0,1.0,0.23942215510105186,0.42400139958608773,19.88221311569214
45,5551.483602365047,417.45997828461196,0.0,1.0,0.2393979078753143,0.42393415593163636,20.307355880737305
46,5522.328101376259,416.2724335325083,0.0,1.0,0.23937385395885794,0.42386740060756206,20.730760097503662
47,5493.487427611683,415.09202583945034,0.0,1.0,0.23934999194326964,0.42380112994264446,21.17034602165222
48,5464.957689342691,413.9188096903731,0.0,1.0,0.23932632029195816,0.4237353400197021,21.605698108673096
49,5436.734981425477,412.75282511083304,0.0,1.0,0.2393028374199862,0.42367002690129985,22.033719062805176
50,5408.815626832977,411.5941067049315,0.0,1.0,0.23927954149163927,0.42360518643092343,22.473772048950195
51,5381.195869398538,410.4426740822521,0.0,1.0,0.23925643086118287,0.4235408144612013,22.91794729232788
52,5353.871801117106,409.2985313571617,0.0,1.0,0.23923350376796007,0.4234769066246506,23.347395181655884
53,5326.839289443396,408.16166541566463,0.0,1.0,0.23921075836135483,0.42341345824061144,23.77300000190735
54,5300.094539965641,407.03206813273823,0.0,1.0,0.23918819207386535,0.4233504636393463,24.213417053222656
55,5273.634072314932,405.9097242851248,0.0,1.0,0.23916580239983787,0.42328791735783944,24.647157192230225
56,5247.454138470741,404.79461254254414,0.0,1.0,0.2391435884642768,0.42322581704636675,25.077653169631958
57,5221.550852338032,403.6866979135373,0.0,1.0,0.2391215478993203,0.4231641575271087,25.500654220581055
58,5195.921139617319,402.5859534364516,0.0,1.0,0.23909967911224558,0.42310293443835806,25.93274211883545
59,5170.561587765053,401.4923494462761,0.0,1.0,0.23907798101855682,0.4230421444726604,26.357017278671265
60,5145.469203359451,400.4058604867067,0.0,1.0,0.23905645314028617,0.4229817853521179,26.78871202468872
61,5120.640869159732,399.3264536399346,0.0,1.0,0.2390350939195057,0.4229218534881659,27.220892906188965
62,5096.073519822842,398.25409190818044,0.0,1.0,0.2390139021848417,0.42286234521590277,27.662466049194336
63,5071.763987029171,397.18873113244945,0.0,1.0,0.23899287615765727,0.42280325609427183,28.098484992980957
64,5047.70912957814,396.13032344904383,0.0,1.0,0.23897201360906128,0.42274458095698014,28.527345180511475
65,5023.905912015721,395.0788201679917,0.0,1.0,0.23895131367319153,0.4226863172298941,28.96231198310852
66,5000.351426911326,394.0341699201118,0.0,1.0,0.23893077539857574,0.4226284618859867,29.386866092681885
67,4977.04333224676,392.9963397713464,0.0,1.0,0.23891039820889495,0.4225710126356876,29.810184001922607
68,4953.978868464606,391.96527646915484,0.0,1.0,0.23889018073172663,0.4225139659363651,30.234846115112305
69,4931.155311763187,390.94092555942314,0.0,1.0,0.23887012205883582,0.42245731876162024,30.67288303375244
70,4908.570133656774,389.9232439361541,0.0,1.0,0.2388502212284757,0.42240106800360283,31.100362062454224
71,4885.129932543843,388.8576361173717,0.0,1.0,0.23883047757150838,0.4223452110180473,31.529471158981323
72,4860.931057518884,387.74808529159424,0.0,1.0,0.23881089477215633,0.42228975203559826,31.99212121963501
73,4836.984067002819,386.64494258272896,0.0,1.0,0.23879147562223035,0.42223469394083296,32.43926405906677
74,4813.286091076365,385.54817335706025,0.0,1.0,0.2387722203469402,0.4221800329872874,32.88063311576843
75,4789.834378670395,384.45775402039607,0.0,1.0,0.23875312966511822,0.4221257664218353,33.30081009864807
76,4766.626194114702,383.3736577386687,0.0,1.0,0.23873420397130826,0.4220718911161505,33.72598624229431
77,4743.658838718484,382.2958441917012,0.0,1.0,0.23871544384944102,0.4220184037564002,34.15542411804199
78,4720.929863289215,381.22427815318736,0.0,1.0,0.23869684896909146,0.4219653013093858,34.58905029296875
79,4698.436960007463,380.1589366821062,0.0,1.0,0.23867841843982615,0.4219125809299948,35.01180410385132
80,4676.178070261817,379.09979946174013,0.0,1.0,0.23866015161892684,0.4218602404752805,35.53132128715515
81,4654.151055076878,378.0468469604977,0.0,1.0,0.2386420481535084,0.4218082772469492,35.979958057403564
